Vehicle2Name	TimeStamp	POS_X	POS_Y	POS_Z	Q_W	Q_X	Q_Y	Q_Z	v_X	v_Y	v_Z	av_X	av_Y	av_Z	a_X	a_Y	a_Z	aa_X	aa_Y	aa_Z	thrust0	torque0	speed0	thrust1	torque1	speed1	thrust2	torque2	speed2	thrust3	torque3	speed3	ImageImageFile	ctes	Theta_e
SimpleFlight	1.647	2.8610599999999997	-0.7414189999999999	-30.8839	0.9843870000000001	0.114605	-0.12360399999999999	-0.050686300000000004	4.12249	-2.82652	-0.0953242	-0.0129548	0.269027	1.19018	2.09574	1.89753	1.6420299999999999	-0.2886	-0.0795466	-5.52955	0.823931	-0.0109535	297.41900000000004	0.829412	-0.0110263	298.406	3.55586	0.0472721	617.867	3.55632	0.0472783	617.908	img_SimpleFlight__0_1627900385648381300.png	0.5439806080067788	0.36539980895689245
SimpleFlight	1.722	3.1760099999999998	-0.9480540000000001	-30.8865	0.986884	0.10949400000000001	-0.11785599999999999	-0.0134594	4.27411	-2.68343	0.0229403	-0.033821300000000006	0.26314099999999996	0.7697109999999999	1.95468	1.92005	1.4802799999999998	-0.0335524	-0.093021	-5.545	0.682139	-0.00906845	270.62	0.686549	-0.00912708	271.493	3.73475	0.0496503	633.219	3.7335199999999995	0.0496339	633.114	img_SimpleFlight__0_1627900385733442900.png	0.671382649161735	0.3250149388971152
SimpleFlight	1.803	3.52845	-1.15913	-30.88	0.98836	0.104823	-0.109848	0.00947208	4.425730000000001	-2.52838	0.137457	-0.06947880000000001	0.256394	0.341646	1.7925	1.90631	1.3307	-0.506957	-0.107857	-4.90008	0.766256	-0.0101867	286.82	0.762675	-0.0101391	286.149	3.70879	0.0493053	631.015	3.71525	0.0493911	631.563	img_SimpleFlight__0_1627900385815079400.png	0.7943511184422187	0.28342299952569855
SimpleFlight	1.881	3.8789599999999997	-1.35058	-30.8654	0.9896389999999999	0.100841	-0.100872	0.0164541	4.55962	-2.38102	0.234959	-0.100709	0.245536	-0.00014780700000000002	1.63818	1.86621	1.18191	-1.12142	-0.0925459	-3.83995	1.00415	-0.0133493	328.339	0.993092	-0.0132023	326.526	3.5189800000000004	0.0467819	614.655	3.5360199999999997	0.0470083	616.141	img_SimpleFlight__0_1627900385898882500.png	0.8986864052172199	0.24562768383229636
SimpleFlight	1.962	4.25352	-1.5373700000000001	-30.8427	0.9911120000000001	0.09651010000000002	-0.0908462	0.0114038	4.68648	-2.23195	0.32157800000000003	-0.13408399999999998	0.229294	-0.25872399999999995	1.49084	1.80625	0.977901	-0.27318000000000003	-0.238664	-2.53967	1.31986	-0.017546400000000004	376.43199999999996	1.32235	-0.017579499999999998	376.787	3.25578	0.0432828	591.222	3.26349	0.0433853	591.9209999999999	img_SimpleFlight__0_1627900385983987800.png	0.9928760871624334	0.20885069864184
SimpleFlight	2.04	4.62344	-1.7060799999999998	-30.8147	0.9925149999999999	0.0913123	-0.0810743	-0.00160214	4.7963	-2.09537	0.396478	-0.200765	0.2133	-0.414944	1.32295	1.68415	0.9605819999999999	-0.871268	-0.236929	-1.55654	1.72603	-0.022946099999999997	430.474	1.72357	-0.0229134	430.168	2.9182099999999997	0.0387952	559.734	2.93586	0.0390298	561.424	img_SimpleFlight__0_1627900386065247300.png	1.267654528729627	0.01918427485167216
SimpleFlight	2.124	5.03081	-1.8763400000000001	-30.7781	0.9937950000000001	0.0831174	-0.0708365	-0.0210965	4.90056	-1.96068	0.473883	-0.263732	0.188853	-0.5073989999999999	1.16977	1.5256399999999999	0.8241940000000001	-0.924333	-0.312881	-0.6962649999999999	1.97745	-0.026288599999999995	460.76199999999994	1.9699200000000001	-0.0261884	459.88300000000004	2.62049	0.0348372	530.413	2.64741	0.035195	533.13	img_SimpleFlight__0_1627900386149986000.png	1.269060508092433	0.01211249113430641
SimpleFlight	2.262	5.71753	-2.13334	-30.7059	0.9946020000000001	0.0655142	-0.05602819999999999	-0.05775689999999999	5.04695	-1.77095	0.562701	-0.31966300000000003	0.139025	-0.5253770000000001	0.9547899999999999	1.21074	0.47082299999999994	0.42058999999999996	-0.391156	0.35546300000000003	2.4811099999999997	-0.0329842	516.114	2.48714	-0.0330644	516.741	2.31684	0.030800400000000002	498.736	2.33736	0.0310733	500.941	img_SimpleFlight__0_1627900386234349700.png	1.2437011812740795	0.0552270728940129
SimpleFlight	2.403	6.43806	-2.37215	-30.6237	0.9936860000000001	0.04503769999999999	-0.0443335	-0.0927038	5.16861	-1.62503	0.593853	-0.324535	0.0924079	-0.441309	0.767848	0.8469639999999999	0.030157999999999997	0.0453235	-0.287002	0.779767	2.62071	-0.0348401	530.435	2.63164	-0.03498540000000001	531.5409999999999	2.28741	0.0304091	495.55800000000005	2.30163	0.030598200000000002	497.097	img_SimpleFlight__0_1627900386437599000.png	1.1885979589110822	0.08808084183929203
SimpleFlight	2.475	6.812119999999999	-2.48713	-30.581	0.9927819999999999	0.0344755	-0.0396121	-0.107824	5.22058	-1.5711	0.589409	-0.315322	0.0743094	-0.383723	0.677142	0.65132	-0.160575	0.0417324	-0.22116	0.789728	2.72123	-0.036176400000000004	540.512	2.7244	-0.0362186	540.827	2.28918	0.0304327	495.751	2.30578	0.0306534	497.545	img_SimpleFlight__0_1627900386521706700.png	1.1516790628487452	0.10037684859477622
